LRI	LIGAND_1	LIGAND_2	RECEPTOR_1	RECEPTOR_2	RECEPTOR_3	DATABASE	SOURCE
FGF16:FGFR3	FGF16	NA	FGFR3	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;PMC:4393358;PMID:16597617
FGF16:FGFR4	FGF16	NA	FGFR4	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;PMC:4393358;PMID:16597617
FGF17:FGFR1	FGF17	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF17:FGFR2	FGF17	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF17:FGFR3	FGF17	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF17:FGFR4	FGF17	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF18:FGFR1	FGF18	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF18:FGFR2	FGF18	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF18:FGFR3	FGF18	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10751172;PMID:15781473;PMID:16597617
FGF18:FGFR4	FGF18	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10751172;PMID:16597617
FGF19:FGFR1	FGF19	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;PMC:4393358;PMID:16597617
FGF19:FGFR2	FGF19	NA	FGFR2	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;PMC:4393358;PMID:16597617
FGF19:FGFR3	FGF19	NA	FGFR3	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;PMC:4393358;PMID:16597617
FGF19:FGFR4	FGF19	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10525310;PMID:14730967;PMID:16597617
FGF19:KLB	FGF19	NA	KLB	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:22442730
FGF1:FGFR1	FGF1	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10336501;PMID:11032250;PMID:16597617;PMID:8663044;PMID:8756477
FGF1:FGFR2	FGF1	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10618369;PMID:11069186;PMID:14732692;PMID:16597617
FGF1:FGFR3	FGF1	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10574949;PMID:14732692;PMID:16597617
FGF1:FGFR4	FGF1	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10336501;PMID:10736564;PMID:16597617;PMID:8663044
FGF1:FGFRL1	FGF1	NA	FGFRL1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
FGF1:ITGAV_ITGB3	FGF1	NA	ITGAV	ITGB3	NA	CellPhoneDB	CellPhoneDB
FGF1:NRP1	FGF1	NA	NRP1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:15695515
FGF1:TGFBR3	FGF1	NA	TGFBR3	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
FGF20:FGFR1	FGF20	NA	FGFR1	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	PMC:4393358;PMID:16597617
FGF20:FGFR2	FGF20	NA	FGFR2	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	PMC:4393358;PMID:16597617
FGF20:FGFR3	FGF20	NA	FGFR3	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	PMC:4393358;PMID:16597617
FGF20:FGFR4	FGF20	NA	FGFR4	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMC:4393358;PMID:15621532;PMID:17;PMID:26198319;PMID:32196115
FGF21:FGFR1	FGF21	NA	FGFR1	NA	NA	CellChat;CellTalkDB;SingleCellSignalR	PMC:4393358;PMID:16597617
FGF21:FGFR2	FGF21	NA	FGFR2	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:16597617
FGF21:FGFR3	FGF21	NA	FGFR3	NA	NA	CellChat;CellTalkDB;SingleCellSignalR	PMC:4393358;PMID:16597617
FGF21:FGFR4	FGF21	NA	FGFR4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:16597617;PMID:22;PMID:22442730
FGF21:KLB	FGF21	NA	KLB	NA	NA	CellTalkDB	PMID:22442730
FGF22:FGFR1	FGF22	NA	FGFR1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:16597617
FGF22:FGFR2	FGF22	NA	FGFR2	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMC:4393358;PMID:12591959;PMID:16597617;reactome
FGF22:FGFRL1	FGF22	NA	FGFRL1	NA	NA	connectomeDB2020	PMID:19920134
FGF23:FGFR1	FGF23	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;PMC:4393358;PMID:16081635;PMID:16597617
FGF23:FGFR2	FGF23	NA	FGFR2	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMID:12032146;PMID:16081635;PMID:16597617;reactome
FGF23:FGFR3	FGF23	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:12032146;PMID:16597617
FGF23:FGFR4	FGF23	NA	FGFR4	NA	NA	CellChat;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMC:4393358;PMID:16081635;PMID:16597617
FGF23:KL	FGF23	NA	KL	NA	NA	CellTalkDB;connectomeDB2020	PMID:30451736;PMID:30605400
FGF23:PHEX	FGF23	NA	PHEX	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:11409890
FGF2:FGFR1	FGF2	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10950949;PMID:11030354;PMID:16597617
FGF2:FGFR2	FGF2	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;PMC:4393358;PMID:16597617;PMID:8663044
FGF2:FGFR3	FGF2	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10574949;PMID:16597617;PMID:8663044
FGF2:FGFR4	FGF2	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:16597617;PMID:8530375;PMID:8663044
FGF2:FGFRL1	FGF2	NA	FGFRL1	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:11418238
FGF2:GPC4	FGF2	NA	GPC4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11066092
FGF2:ITGAV_ITGB3	FGF2	NA	ITGAV	ITGB3	NA	CellPhoneDB	CellPhoneDB
FGF2:NRP1	FGF2	NA	NRP1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:15695515
FGF2:SDC1	FGF2	NA	SDC1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:16982797
FGF2:SDC2	FGF2	NA	SDC2	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;HPRD;PMID:11015614;PMID:16982797;PMID:17
FGF2:SDC3	FGF2	NA	SDC3	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:16982797;PMID:83;PMID:8344959
FGF2:SDC4	FGF2	NA	SDC4	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:9012653
FGF3:FGFR1	FGF3	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:16597617;PMID:7592624;PMID:8663044
FGF3:FGFR2	FGF3	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:16597617;PMID:7592624;PMID:8663044
FGF3:FGFR3	FGF3	NA	FGFR3	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:8663044
FGF3:FGFR4	FGF3	NA	FGFR4	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:8663044
FGF3:FGFRL1	FGF3	NA	FGFRL1	NA	NA	connectomeDB2020	PMID:19920134
FGF4:FGFR1	FGF4	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:11486033;PMID:16597617
FGF4:FGFR2	FGF4	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:11486033;PMID:16597617;PMID:8663044
FGF4:FGFR3	FGF4	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:11486033;PMID:16597617;PMID:8663044
FGF4:FGFR4	FGF4	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:11486033;PMID:16597617;PMID:8663044
FGF4:FGFRL1	FGF4	NA	FGFRL1	NA	NA	connectomeDB2020	PMID:19920134
FGF4:NRP1	FGF4	NA	NRP1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:15695515;PMID:16597617
FGF5:FGFR1	FGF5	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:16597617;PMID:8386828
FGF5:FGFR2	FGF5	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:11876253;PMID:16597617;PMID:8386828
FGF5:FGFR3	FGF5	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGF5:FGFR4	FGF5	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:1385111;PMID:16597617;PMID:8663044
FGF6:FGFR1	FGF6	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGF6:FGFR2	FGF6	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGF6:FGFR3	FGF6	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGF6:FGFR4	FGF6	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:1385111;PMID:16597617
FGF6:SDC4	FGF6	NA	SDC4	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
FGF7:FGFR1	FGF7	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGF7:FGFR2	FGF7	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:12591959;PMID:16597617;PMID:7687739
FGF7:FGFR3	FGF7	NA	FGFR3	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:8663044
FGF7:FGFR4	FGF7	NA	FGFR4	NA	NA	CellPhoneDB;CellTalkDB;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:7680645
FGF7:NRP1	FGF7	NA	NRP1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:15695515;PMID:16597617
FGF8:FGFR1	FGF8	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10574949;PMID:16597617;PMID:8290257
FGF8:FGFR2	FGF8	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10751172;PMID:16597617;PMID:8663044
FGF8:FGFR3	FGF8	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10574949;PMID:11486033;PMID:16597617;PMID:8663044
FGF8:FGFR4	FGF8	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10736564;PMID:11486033;PMID:16597617
FGF8:FGFRL1	FGF8	NA	FGFRL1	NA	NA	CellTalkDB;connectomeDB2020	PMID:19920134;PMID:23112089
FGF9:FGFR1	FGF9	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:10574949;PMID:16597617
FGF9:FGFR2	FGF9	NA	FGFR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:16597617;PMID:8576175;PMID:8663044
FGF9:FGFR3	FGF9	NA	FGFR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;PMC:4393358;PMID:10574949;PMID:15231666;PMID:16597617;PMID:8576175
FGF9:FGFR4	FGF9	NA	FGFR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMC:4393358;PMID:16597617;PMID:8663044
FGFR2:FGFR1	FGFR2	NA	FGFR1	NA	NA	CellPhoneDB	CellPhoneDB
HSPG2:FGFR1	HSPG2	NA	FGFR1	NA	NA	CellTalkDB	PMID:19591432
KL:FGFR1	KL	NA	FGFR1	NA	NA	CellPhoneDB	CellPhoneDB
MMP2:FGFR1	MMP2	NA	FGFR1	NA	NA	CellTalkDB	PMID:8692946
NCAM1:FGFR1	NCAM1	NA	FGFR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:12121226;PMID:12791257
FGFR2:FGFR3	FGFR2	NA	FGFR3	NA	NA	CellPhoneDB	CellPhoneDB
L1CAM:FGFR2	L1CAM	NA	FGFR2	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
NCAM1:FGFR2	NCAM1	NA	FGFR2	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:12121226
FGFR2:NECTIN1	FGFR2	NA	NECTIN1	NA	NA	CellPhoneDB	CellPhoneDB
PF4:FGFR2	PF4	NA	FGFR2	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:9558385
FGFR2:PTPRR	FGFR2	NA	PTPRR	NA	NA	CellPhoneDB	CellPhoneDB
FGFR2:ROS1	FGFR2	NA	ROS1	NA	NA	CellPhoneDB	CellPhoneDB
RPS27A:FGFR2	RPS27A	NA	FGFR2	NA	NA	SingleCellSignalR	reactome
TFF1:FGFR2	TFF1	NA	FGFR2	NA	NA	CellPhoneDB	CellPhoneDB
TIMP1:FGFR2	TIMP1	NA	FGFR2	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
FGFR2:XPR1	FGFR2	NA	XPR1	NA	NA	CellPhoneDB	CellPhoneDB
FGFR3:NECTIN1	FGFR3	NA	NECTIN1	NA	NA	CellPhoneDB	CellPhoneDB
FGFR4:PTPRR	FGFR4	NA	PTPRR	NA	NA	CellPhoneDB	CellPhoneDB
SCGB3A1:FGFR4	SCGB3A1	NA	FGFR4	NA	NA	CellPhoneDB	CellPhoneDB
FGFR4:TNFRSF10A	FGFR4	NA	TNFRSF10A	NA	NA	CellPhoneDB	CellPhoneDB
FGG:ITGA5	FGG	NA	ITGA5	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:15031111;PMID:26198319;PMID:32196115
FGG:ITGAV	FGG	NA	ITGAV	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:15031111;PMID:26198319;PMID:32196115
FGG:ITGB1	FGG	NA	ITGB1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:15031111
FGG:TLR4	FGG	NA	TLR4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	PMID:24661950;PMID:32196115;reactome
FGL1:LAG3	FGL1	NA	LAG3	NA	NA	connectomeDB2020	PMID:30580966
LGI3:FLOT1	LGI3	NA	FLOT1	NA	NA	connectomeDB2020	PMID:20461023
SLIT1:FLRT3	SLIT1	NA	FLRT3	NA	NA	CellTalkDB	PMID:24560577
PGF:FLT1_KDR	PGF	NA	FLT1	KDR	NA	CellPhoneDB	CellPhoneDB
VEGFA:FLT1_KDR	VEGFA	NA	FLT1	KDR	NA	CellPhoneDB	CellPhoneDB
VEGFB:FLT1_KDR	VEGFB	NA	FLT1	KDR	NA	CellPhoneDB	CellPhoneDB
PDGFC:FLT1	PDGFC	NA	FLT1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
PGF:FLT1	PGF	NA	FLT1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;KEGG:hsa04370;PMID:14684734;PMID:147;PMID:16633338;PMID:9452434
PIGF:FLT1	PIGF	NA	FLT1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:7929268
PLG:FLT1	PLG	NA	FLT1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
VEGFA:FLT1	VEGFA	NA	FLT1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04370;KEGG:NicheNet;PMID:15637071;PMID:16633338;PMID:17051153;PMID:26285753;PMID:8621427;PMID:9393862;PPI
VEGFB:FLT1	VEGFB	NA	FLT1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04370;KEGG:NicheNet;PMID:16633338;PMID:26285753;PMID:9751730;PMID:97517301;PMID:98
VEGFC:FLT1	VEGFC	NA	FLT1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
VEGFD:FLT1	VEGFD	NA	FLT1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
FLT3LG:FLT3	FLT3LG	NA	FLT3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:NicheNet;PMID:15147956;PMID:21389326;PMID:25992210;PMID:7505204;PMID:9651358
FN1:FLT4	FN1	NA	FLT4	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:15389531
PDGFC:FLT4	PDGFC	NA	FLT4	NA	NA	CellPhoneDB;CellTalkDB;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;IUPHAR;PMID:26198319;PMID:32103204;PMID:32196115
TNF:FLT4	TNF	NA	FLT4	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
VEGFC:FLT4	VEGFC	NA	FLT4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04370;PMID:11532940;PMID:12881528;PMID:16530705;PMID:16633338;PMID:8700872;PPI
VEGFD:FLT4	VEGFD	NA	FLT4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;HPRD;IUPHAR;KEGG:hsa04370;KEGG:NicheNet;PMID:16633338;PMID:21148085;PMID:9435229;PPI
FN1:IL17RC	FN1	NA	IL17RC	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
FN1:ITGB1_ITGA10	FN1	NA	ITGB1	ITGA10	NA	CellPhoneDB	CellPhoneDB
FN1:ITGB1_ITGA11	FN1	NA	ITGB1	ITGA11	NA	CellPhoneDB	CellPhoneDB
FN1:ITGA2B_ITGB3	FN1	NA	ITGA2B	ITGB3	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGB1_ITGA2	FN1	NA	ITGB1	ITGA2	NA	CellPhoneDB	CellPhoneDB
FN1:ITGB1_ITGA3	FN1	NA	ITGB1	ITGA3	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGB1_ITGA4	FN1	NA	ITGB1	ITGA4	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGB7_ITGA4	FN1	NA	ITGB7	ITGA4	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGB1_ITGA5	FN1	NA	ITGB1	ITGA5	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGA6	FN1	NA	ITGA6	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;PMID:32196115
FN1:ITGB1_ITGA8	FN1	NA	ITGB1	ITGA8	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGA9	FN1	NA	ITGA9	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:11839764
FN1:ITGAV	FN1	NA	ITGAV	NA	NA	CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	FANTOM5;KEGG:NicheNet;PMID:23154389;PMID:8314844
FN1:ITGB1_ITGAV	FN1	NA	ITGB1	ITGAV	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGAV_ITGB3	FN1	NA	ITGAV	ITGB3	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04512
FN1:ITGB5_ITGAV	FN1	NA	ITGB5	ITGAV	NA	CellPhoneDB	CellPhoneDB
FN1:ITGAV_ITGB6	FN1	NA	ITGAV	ITGB6	NA	CellChat	KEGG:hsa04512
FN1:ITGAV_ITGB8	FN1	NA	ITGAV	ITGB8	NA	CellChat	KEGG:hsa04512
FN1:MAG	FN1	NA	MAG	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:11423128
FN1:NT5E	FN1	NA	NT5E	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10470109;PMID:105;PMID:9361795
FN1:PLAUR	FN1	NA	PLAUR	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:2413022
